"COD_CEP";"LIB_CEP";"COU_CEP";"DAT_DER_MAJ";"COD_CATCEP";"COD_CEP_P";"INDIC_EXPCEP";"COD_TYPDEST_CEP"
"0000";"SANS VIGNE";"";"26/04/2007 11:14:11";"";"";"";""
"0103";"BESOUL KHADEM RG";"5";"";"G";"";"O";"TABLE"
"0107";"AHMEUR B AHMEUR RG";"5";"";"G";"";"O";"TABLE"
"0115";"ASPIRAN NOIR N";"2";"";"G";"";"N";"TABLE"
"0117";"BICANE B";"1";"";"G";"";"N";"TABLE"
"0131";"DALMASSO VI 6 B";"1";"";"G";"";"O";"TABLE"
"0135";"DANUGUE N";"2";"";"G";"";"O";"TABLE"
"0137";"FOSTER'S W SEEDL.B";"1";"";"G";"";"O";"TABLE"
"0141";"FRANKENTHAL N";"2";"";"G";"";"O";"TABLE"
"0143";"EPARSE B";"1";"";"G";"";"N";"TABLE"
"0145";"GIBI B";"1";"";"G";"";"O";"TABLE"
"0155";"LIGNAN B";"1";"";"G";"";"N";"TABLE"
"0161";"KHALILI B";"1";"";"G";"";"O";"TABLE"
"0163";"LUCIEN BALTET N";"2";"";"G";"";"N";"TABLE"
"0203";"MUSCAT TERRACINA B";"1";"";"G";"";"N";"TABLE"
"0211";"MME J.MATHIASZ RS";"3";"";"G";"";"N";"TABLE"
"0231";"PANSE PROVENCE B";"1";"";"G";"";"N";"TABLE"
"0241";"PRUNE DE CAZOULS N";"2";"";"G";"";"N";"TABLE"
"0245";"CALABRE B";"1";"";"G";"";"N";"TABLE"
"0301";"ANGELO PIROVANO RS";"3";"";"G";"";"O";"TABLE"
"0303";"TERMIDORO B";"1";"";"G";"";"O";"TABLE"
"0305";"DELIZ. DI VAPRIO B";"1";"";"G";"";"O";"TABLE"
"0311";"PERLONA B";"1";"";"G";"";"O";"TABLE"
"0313";"CICLOPICA B";"1";"";"G";"";"O";"TABLE"
"0317";"SULTANA MOSCATA B";"1";"";"G";"";"O";"TABLE"
"0321";"BARBABLEU N";"2";"";"G";"";"N";"TABLE"
"0323";"PIROVANO 86 A N";"2";"";"G";"";"O";"TABLE"
"0325";"AURORA RS";"3";"";"G";"";"O";"TABLE"
"0327";"ANGELO LONGO B";"1";"";"G";"";"O";"TABLE"
"0331";"VOLTA N";"2";"";"G";"";"O";"TABLE"
"0337";"MARIA PIROVANO B";"1";"";"G";"";"O";"TABLE"
"0341";"RODI RS";"3";"";"G";"";"O";"TABLE"
"0345";"MARENGO B";"1";"";"G";"";"O";"TABLE"
"0351";"FORMOSA N";"2";"";"G";"";"O";"TABLE"
"0363";"SUAVIS B";"1";"";"G";"";"O";"TABLE"
"0367";"SANTA BARBARA RS";"3";"";"G";"";"O";"TABLE"
"0375";"DIAMANTE NERO N";"2";"";"G";"";"O";"TABLE"
"0377";"ARTURO MARESCAL.RG";"5";"";"G";"";"O";"TABLE"
"0401";"SABALKANSKOI RG";"5";"";"G";"";"O";"TABLE"
"0403";"SAN MARTINO B";"1";"";"G";"";"O";"TABLE"
"0405";"SANTA PAULA B";"1";"";"G";"";"O";"TABLE"
"0443";"FLAMING ROSE RS";"3";"";"G";"";"O";"TABLE"
"0700";"TABLE DIVERS";"6";"";"G";"";"N";"TABLE"
"0701";"ADMIRABLE COURT.B";"1";"";"G";"";"N";"TABLE"
"0703";"ALPHON.LAVALLEE N";"2";"";"G";"";"N";"TABLE"
"0704";"ATTIKI N";"2";"12/09/2003 17:13:37";"G";"";"";"TABLE"
"0705";"MAD.ANGE.OBERLIN B";"1";"";"G";"";"N";"TABLE"
"0707";"CARDINAL RG";"5";"";"G";"";"N";"TABLE"
"0708";"CENTENNIAL SEEDL B";"1";"04/03/2005 12:43:48";"G";"";"";"TABLE"
"0709";"DABOUKI B";"1";"";"G";"";"N";"TABLE"
"0711";"DATTIER BEYROUTH B";"1";"";"G";"";"N";"TABLE"
"0715";"JAOUMET B";"1";"";"G";"";"N";"TABLE"
"0717";"MADELEINES B";"1";"";"G";"";"N";"TABLE"
"0719";"MADEL.ANGEVINE B";"1";"";"G";"";"N";"TABLE"
"0721";"MADELEINE CELINE B";"1";"";"G";"";"N";"TABLE"
"0722";"MADEL. CLERMONT B";"";"16/06/2009 16:08:28";"G";"";"";"TABLE"
"0725";"MADELEINE ROYALE B";"1";"";"G";"";"N";"TABLE"
"0727";"MIREILLE B";"1";"";"G";"";"N";"TABLE"
"0728";"MUSCAT G CALMETTE ";"";"26/05/2011 11:14:01";"G";"";"";"TABLE"
"0729";"MUSCATS DIV.TAB.";"6";"";"G";"";"N";"TABLE"
"0730";"MUSCAT DE SAUMUR";"";"18/05/2009 10:26:52";"G";"";"";"TABLE"
"0731";"MUSCAT ALEXANDR. B";"1";"10/04/2002";"G";"";"N";"TABLE"
"0732";"MUSCAT LIERVAL";"";"18/05/2009 10:27:51";"G";"";"";"TABLE"
"0733";"MUSCAT HAMBOURG N";"2";"10/04/2002";"G";"";"N";"TABLE"
"0734";"MUSC. RG MADERE RG";"";"22/05/2009 10:18:24";"G";"";"";"TABLE"
"0735";"REINE DES VIGNES B";"1";"";"G";"";"N";"TABLE"
"0736";"MUSCAT BLEU";"";"26/05/2011 10:14:15";"G";"";"";"TABLE"
"0737";"OLIVETTES";"6";"";"G";"";"N";"TABLE"
"0739";"OLIVETTE BLANCHE B";"1";"";"G";"";"N";"TABLE"
"0745";"OLIVETTE NOIRE N";"2";"";"G";"";"N";"TABLE"
"0746";"ALVINA NOIR";"2";"";"G";"";"N";"TABLE"
"0747";"PERLE DE CSABA B";"1";"";"G";"";"N";"TABLE"
"0748";"CARLA N";"2";"10/04/2002";"G";"";"N";"TABLE"
"0749";"ITALIA B";"1";"";"G";"";"N";"TABLE"
"0750";"DANUTA B";"1";"04/02/2003 10:10:13";"G";"";"N";"TABLE"
"0751";"SERVANT B";"1";"10/04/2002";"G";"";"N";"TABLE"
"0752";"EXALTA B";"1";"";"G";"";"N";"TABLE"
"0753";"PANSE PRECOCE B";"1";"";"G";"";"N";"TABLE"
"0754";"MADINA B";"1";"";"G";"";"N";"TABLE"
"0755";"SULTANINE B";"1";"";"G";"";"N";"TABLE"
"0756";"CANNER SEEDLESS B";"1";"";"G";"";"N";"TABLE"
"0757";"VALENSI N";"2";"";"G";"";"N";"TABLE"
"0758";"ITALIA RUBI RG";"5";"13/11/2009 11:11:06";"G";"";"";"TABLE"
"0759";"MICHEL TOMPA B";"1";"";"G";"";"N";"TABLE"
"0760";"SERNA INTA RS";"";"20/05/2010 17:22:13";"G";"";"";"TABLE"
"0763";"CHASSELAS B";"1";"10/04/2002";"G";"";"N";"TABLE"
"0765";"CHASSEL.CIOUTAT B";"1";"";"G";"";"N";"TABLE"
"0766";"CHASSELAS MUSCAT B";"1";"13/04/2006 15:34:21";"G";"";"";"TABLE"
"0767";"CHASSELAS ROSE RS";"3";"10/04/2002";"G";"";"N";"TABLE"
"0769";"CHASSEL.VIOLET RG";"5";"";"G";"";"N";"TABLE"
"0770";"ORA B";"1";"";"G";"";"N";"TABLE"
"0771";"OEILLADE N";"2";"";"G";"";"N";"TABLE"
"0772";"SULIMA B";"1";"";"G";"";"N";"TABLE"
"0773";"VICTORIA B";"";"22/10/2008 15:53:56";"G";"";"";"TABLE"
"0774";"PRIMA N";"2";"";"G";"";"N";"TABLE"
"0776";"ISA B";"1";"";"G";"";"N";"TABLE"
"0779";"PERLETTE B";"1";"";"G";"";"N";"TABLE"
"0781";"DATT.ST.VALLIER B";"1";"";"G";"";"N";"TABLE"
"0783";"MUSC.ST.VALLIER B";"1";"";"G";"";"N";"TABLE"
"0785";"DANAM B";"1";"";"G";"";"N";"TABLE"
"0787";"DANLAS B";"1";"";"G";"";"N";"TABLE"
"0789";"DATAL B";"1";"";"G";"";"N";"TABLE"
"0791";"LIVAL N";"2";"";"G";"";"N";"TABLE"
"0793";"PERLAUT B";"1";"";"G";"";"N";"TABLE"
"0795";"RIBOL N";"2";"";"G";"";"N";"TABLE"
"0796";"ROI DES PRECOCES";"";"26/05/2011 10:08:04";"G";"";"";"TABLE"
"0797";"IGNEA RS";"3";"";"G";"";"N";"TABLE"
"0798";"VERJUS";"";"26/05/2011 10:06:55";"G";"";"";"TABLE"
"0799";"DELRHO N";"2";"";"G";"";"N";"TABLE"
"0801";"ALADIN N";"2";"10/04/2002";"G";"";"N";"TABLE"
"0802";"AMANDIN B";"1";"10/04/2002";"G";"";"N";"TABLE"
"0803";"CANDIN";"1";"10/04/2002";"G";"";"N";"TABLE"
"0804";"PERDIN B";"1";"10/04/2002";"G";"";"N";"TABLE"
"0805";"ALVAL N";"2";"06/12/2004 16:28:12";"G";"";"";"TABLE"
"0806";"CORINTHE B";"1";"16/10/2006 08:56:26";"G";"";"";"TABLE"
"0807";"CORINTHE N";"2";"16/10/2006 08:56:26";"G";"";"";"TABLE"
"0899";"DIV. TABLE EXPER";"";"26/06/2002 11:20:57";"G";"";"";"TABLE"
"0901";"ALEDO B";"1";"";"G";"";"N";"TABLE"
"0908";"DON MARIANO RG";"5";"";"G";"";"O";"TABLE"
"0914";"RED GLOBE R";"2";"10/04/2002";"G";"";"O";"TABLE"
"0931";"FLAME SEEDLESS RS";"3";"";"G";"";"O";"TABLE"
"0932";"CRIMSON SEEDLESS ";"";"09/06/2010 10:07:35";"G";"";"O";"TABLE"
"0970";"OHANES B";"1";"";"G";"";"O";"TABLE"
"0999";"DIV. TABLE ETRAN.";"";"26/06/2002 11:20:57";"G";"";"O";"TABLE"
"1000";"DIVERS CUVE";"6";"26/06/2002 11:20:57";"G";"";"N";"CUVE"
"1005";"DIVERS CUVE B";"1";"26/06/2002 11:20:57";"G";"";"N";"CUVE"
"1010";"DIVERS CUVE N";"2";"26/06/2002 11:20:57";"G";"";"N";"CUVE"
"1011";"ABOURIOU N";"2";"";"G";"";"N";"CUVE"
"1020";"ALICANTE H.BOUS.N";"2";"";"G";"";"N";"CUVE"
"1031";"ALIGOTE B";"1";"";"G";"";"N";"CUVE"
"1041";"ALTESSE B";"1";"";"G";"";"N";"CUVE"
"1051";"ARAMON BLANC B";"1";"";"G";"";"N";"CUVE"
"1053";"ARAMON GRIS G";"4";"";"G";"";"N";"CUVE"
"1055";"ARAMON N";"2";"";"G";"";"N";"CUVE"
"1061";"AUBUN N";"2";"";"G";"";"N";"CUVE"
"1071";"BAROQUE B";"1";"";"G";"";"N";"CUVE"
"1081";"BOUCHALES N";"2";"";"G";"";"N";"CUVE"
"1091";"BOURBOULENC B";"1";"";"G";"";"N";"CUVE"
"1101";"CABERNET FRANC N";"2";"";"G";"";"N";"CUVE"
"1111";"CABER.SAUVIGNON N";"2";"";"G";"";"N";"CUVE"
"1111";"CABERNET SAUVIGNON N";"2";"";"G";"";"N";"CUVE"
"1121";"CALITOR BLANC B";"1";"";"G";"";"N";"CUVE"
"1123";"CALITOR GRIS G";"4";"";"G";"";"N";"CUVE"
"1125";"CALITOR NOIR N";"2";"";"G";"";"N";"CUVE"
"1131";"CARIGNAN BLANC B";"1";"";"G";"";"N";"CUVE"
"1133";"CARIGNAN GRIS G";"4";"";"G";"";"N";"CUVE"
"1135";"CARIGNAN N";"2";"";"G";"";"N";"CUVE"
"1141";"CHARDONNAY B";"1";"";"G";"";"N";"CUVE"
"1143";"CHASAN B";"1";"";"G";"";"N";"CUVE"
"1151";"CHASSELAS B";"1";"";"G";"";"N";"CUVE"
"1153";"CHASSEL. CIOUTAT B";"";"16/06/2009 15:50:33";"G";"";"";"CUVE"
"1155";"CHASSELAS ROSE RS";"3";"";"G";"";"N";"CUVE"
"1156";"CHASSELAS N";"2";"31/01/2006 09:29:31";"G";"";"";"TABLE"
"1159";"CHENANSON N";"2";"";"G";"";"N";"CUVE"
"1161";"CHENIN B";"1";"";"G";"";"N";"CUVE"
"1171";"CINSAUT N";"2";"";"G";"";"N";"CUVE"
"1181";"CLAIRETTE B";"1";"";"G";"";"N";"CUVE"
"1185";"CLAIRETTE ROSE RS";"3";"";"G";"";"N";"CUVE"
"1191";"COLOMBARD B";"1";"";"G";"";"N";"CUVE"
"1193";"COUNOISE N";"2";"";"G";"";"N";"CUVE"
"1201";"FOLLE BLANCHE B";"1";"";"G";"";"N";"CUVE"
"1205";"FOLIGNAN B";"1";"01/02/2002 10:19:14";"G";"";"N";"CUVE"
"1221";"GAMAY N";"2";"";"G";"";"N";"CUVE"
"1230";"GAMAY TEINTURIER";"2";"31/05/2006 14:58:09";"G";"";"N";"CUVE"
"1231";"GAMAY T.BOUZE N";"2";"";"G";"";"N";"CUVE"
"1233";"GAMAY T.FREAUX N";"2";"";"G";"";"N";"CUVE"
"1235";"GAMAY CHAUDENAY N";"2";"";"G";"";"N";"CUVE"
"1237";"GANSON N";"2";"";"G";"";"N";"CUVE"
"1241";"G.N. LA CALMETTE N";"2";"";"G";"";"N";"CUVE"
"1245";"LLEDONER PELUT N";"2";"";"G";"";"N";"CUVE"
"1247";"GRAMON N";"2";"";"G";"";"N";"CUVE"
"1251";"GRENACHE BLANC B";"1";"";"G";"";"N";"CUVE"
"1253";"GRENACHE GRIS G";"4";"";"G";"";"N";"CUVE"
"1255";"GRENACHE N";"2";"";"G";"";"N";"CUVE"
"1261";"GROLLEAU N";"2";"";"G";"";"N";"CUVE"
"1263";"GROLLEAU GRIS G";"4";"";"G";"";"N";"CUVE"
"1265";"GROS VERT B";"1";"31/05/2006 15:01:13";"G";"";"N";"CUVE"
"1271";"JACQUERE B";"1";"";"G";"";"N";"CUVE"
"1291";"JURANCON BLANC B";"1";"";"G";"";"N";"CUVE"
"1301";"JURANCON NOIR N";"2";"";"G";"";"N";"CUVE"
"1311";"MACABEU B";"1";"";"G";"";"N";"CUVE"
"1321";"COT N";"2";"";"G";"";"N";"CUVE"
"1335";"TOURBAT B";"1";"";"G";"";"N";"CUVE"
"1341";"MARSANNE B";"1";"";"G";"";"N";"CUVE"
"1351";"MAUZAC B";"1";"";"G";"";"N";"CUVE"
"1353";"MAUZAC ROSE RS";"3";"";"G";"";"N";"CUVE"
"1355";"MAUZAC NOIR N";"2";"";"G";"";"N";"CUVE"
"1361";"MERILLE N";"2";"";"G";"";"N";"CUVE"
"1371";"MERLOT BLANC B";"1";"";"G";"";"N";"CUVE"
"1373";"MERLOT N";"2";"";"G";"";"N";"CUVE"
"1381";"MESLIER ST.FRANC.B";"1";"";"G";"";"N";"CUVE"
"1383";"PETIT MESLIER B";"1";"";"G";"";"N";"CUVE"
"1391";"MEUNIER N";"2";"";"G";"";"N";"CUVE"
"1401";"MONBADON B";"1";"";"G";"";"N";"CUVE"
"1411";"MONDEUSE BLANCHE B";"1";"";"G";"";"N";"CUVE"
"1413";"MONDEUSE GRISE G";"4";"";"G";"";"N";"CUVE"
"1415";"MONDEUSE N";"2";"";"G";"";"N";"CUVE"
"1421";"GROS MORRAS.BOUS.N";"2";"";"G";"";"N";"CUVE"
"1431";"MUSCADELLE B";"1";"";"G";"";"N";"CUVE"
"1441";"MELON B";"1";"";"G";"";"N";"CUVE"
"1443";"MONERAC N";"2";"";"G";"";"N";"CUVE"
"1445";"MUSCAT HAMBOURG N";"2";"";"G";"";"N";"CUVE"
"1447";"MUSCAT ALEXANDR. B";"1";"";"G";"";"N";"CUVE"
"1449";"MUSCAT G CALMETTE";"";"26/05/2011 11:16:42";"G";"";"";"CUVE"
"1450";"MUSCATS DIV.CUV.";"6";"";"G";"";"N";"CUVE"
"1453";"MUSC.PTS.GRAINS B";"1";"";"G";"";"N";"CUVE"
"1455";"MUSCAT OTTONEL B";"1";"";"G";"";"N";"CUVE"
"1457";"MUSC.PTS.GR.RGE.RG";"5";"";"G";"";"N";"CUVE"
"1459";"MUSCAT CENDRE B";"1";"22/07/2010 14:26:27";"G";"";"N";"CUVE"
"1461";"NEGRETTE N";"2";"23/01/2009 16:15:25";"G";"";"N";"CUVE"
"1471";"ONDENC B";"1";"";"G";"";"N";"CUVE"
"1481";"PETIT BOUSCHET N";"2";"";"G";"";"N";"CUVE"
"1491";"PINEAU D'AUNIS N";"2";"";"G";"";"N";"CUVE"
"1503";"PINOT BLANC B";"1";"";"G";"";"N";"CUVE"
"1507";"PINOT GRIS G";"4";"";"G";"";"N";"CUVE"
"1511";"PINOT NOIR N";"2";"";"G";"";"N";"CUVE"
"1513";"SAINT LAURENT N";"2";"";"G";"";"N";"CUVE"
"1515";"PINOT PRECOCE N";"2";"";"G";"";"N";"CUVE"
"1521";"PIQUEPOUL BLANC B";"1";"";"G";"";"N";"CUVE"
"1523";"PIQUEPOUL BOUSCH.N";"2";"";"G";"";"N";"CUVE"
"1525";"PIQUEPOUL GRIS G";"4";"";"G";"";"N";"CUVE"
"1527";"PIQUEPOUL NOIR N";"2";"";"G";"";"N";"CUVE"
"1531";"PORTUGAIS BLEU N";"2";"";"G";"";"N";"CUVE"
"1533";"PORTAN N";"2";"";"G";"";"N";"CUVE"
"1541";"GRAISSE B";"1";"";"G";"";"N";"CUVE"
"1551";"POULSARD BLANC B";"1";"";"G";"";"N";"CUVE"
"1553";"POULSARD N";"2";"";"G";"";"N";"CUVE"
"1555";"PRECOCE MALINGRE B";"1";"";"G";"";"N";"CUVE"
"1558";"ROSE DU VAR RS";"3";"31/05/2006 15:16:33";"G";"";"";"CUVE"
"1561";"SAUVIGNON B";"1";"";"G";"";"N";"CUVE"
"1563";"SAUVIGNON ROSE RS";"3";"";"G";"";"N";"CUVE"
"1565";"SAUVIGNON ROUGE RG";"5";"";"G";"";"N";"CUVE"
"1567";"SAUVIGNON GRIS G";"4";"";"G";"";"N";"CUVE"
"1571";"SAVAGNIN BLANC B";"1";"";"G";"";"N";"CUVE"
"1573";"SAVAGNIN ROSE RS";"3";"";"G";"";"N";"CUVE"
"1575";"GEWURZTRAMINER RS";"3";"";"G";"";"N";"CUVE"
"1581";"SEMILLON B";"1";"";"G";"";"N";"CUVE"
"1583";"SERVANT B";"1";"";"G";"";"N";"CUVE"
"1591";"SYRAH N";"2";"";"G";"";"N";"CUVE"
"1601";"TANNAT N";"2";"";"G";"";"N";"CUVE"
"1611";"TERRET BLANC B";"1";"";"G";"";"N";"CUVE"
"1613";"TERRET GRIS G";"4";"";"G";"";"N";"CUVE"
"1615";"TERRET NOIR N";"2";"";"G";"";"N";"CUVE"
"1623";"TIBOUREN N";"2";"";"G";"";"N";"CUVE"
"1631";"UGNI BLANC B";"1";"";"G";"";"N";"CUVE"
